"","index","date","fb_data.total_engagement_count"
"1","1",2021-05-01,0
"2","2",2021-05-01,0
"3","3",2021-05-01,13
"4","4",2021-05-01,0
"5","5",2021-05-01,0
"6","6",2021-05-01,20
"7","7",2021-05-01,11
"8","8",2021-05-01,0
"9","9",2021-05-01,7
"10","10",2021-05-01,3
"11","11",2021-05-01,0
"12","12",2021-05-01,72
"13","13",2021-05-02,0
"14","14",2021-05-02,0
"15","15",2021-05-01,0
"16","16",2021-05-01,0
"17","17",2021-05-01,0
"18","18",2021-05-01,0
"19","19",2021-05-01,0
"20","20",2021-05-01,0
"21","21",2021-05-01,0
"22","22",2021-05-01,0
"23","23",2021-05-01,0
"24","24",2021-05-01,0
"25","25",2021-05-01,0
"26","26",2021-05-01,0
"27","27",2021-05-01,0
"28","28",2021-05-01,0
"29","29",2021-05-01,0
"30","30",2021-05-01,0
"31","31",2021-05-01,0
"32","32",2021-05-01,0
"33","33",2021-05-01,0
"34","34",2021-05-01,0
"35","35",2021-05-01,0
"36","36",2021-05-01,0
"37","37",2021-05-01,0
"38","38",2021-05-01,0
"39","39",2021-05-01,0
"40","40",2021-05-01,0
"41","41",2021-05-01,0
"42","42",2021-05-01,0
"43","43",2021-05-01,0
"44","44",2021-05-01,0
"45","45",2021-05-01,0
"46","46",2021-05-01,0
"47","47",2021-05-01,0
"48","48",2021-05-01,0
"49","49",2021-05-01,0
"50","50",2021-05-01,0
"51","51",2021-05-01,0
"52","52",2021-05-01,0
"53","53",2021-05-01,0
"54","54",2021-05-01,0
"55","55",2021-05-01,0
"56","56",2021-05-01,0
"57","57",2021-05-01,0
"58","58",2021-05-01,0
"59","59",2021-05-01,0
"60","60",2021-05-01,0
"61","61",2021-05-01,0
"62","62",2021-05-01,0
"63","63",2021-05-01,0
"64","64",2021-05-01,0
"65","65",2021-05-01,0
"66","66",2021-05-01,0
"67","67",2021-05-01,0
"68","68",2021-05-01,0
"69","69",2021-05-01,0
"70","70",2021-05-02,0
"71","71",2021-05-02,0
"72","72",2021-05-02,0
"73","73",2021-05-02,16
"74","74",2021-05-03,7
"75","75",2021-05-02,6
"76","76",2021-05-03,0
"77","77",2021-05-02,0
"78","78",2021-05-02,0
"79","79",2021-05-02,0
"80","80",2021-05-02,0
"81","81",2021-05-02,0
"82","82",2021-05-02,0
"83","83",2021-05-02,0
"84","84",2021-05-02,0
"85","85",2021-05-02,0
"86","86",2021-05-02,0
"87","87",2021-05-02,0
"88","88",2021-05-02,0
"89","89",2021-05-02,0
"90","90",2021-05-02,0
"91","91",2021-05-02,0
"92","92",2021-05-02,0
"93","93",2021-05-02,0
"94","94",2021-05-02,0
"95","95",2021-05-02,0
"96","96",2021-05-02,0
"97","97",2021-05-02,0
"98","98",2021-05-02,0
"99","99",2021-05-02,0
"100","100",2021-05-02,0
"101","101",2021-05-02,0
"102","102",2021-05-02,0
"103","103",2021-05-02,0
"104","104",2021-05-02,0
"105","105",2021-05-02,0
"106","106",2021-05-02,0
"107","107",2021-05-02,0
"108","108",2021-05-02,0
"109","109",2021-05-02,0
"110","110",2021-05-02,0
"111","111",2021-05-02,0
"112","112",2021-05-02,0
"113","113",2021-05-03,113
"114","114",2021-05-03,358
"115","115",2021-05-03,0
"116","116",2021-05-03,0
"117","117",2021-05-03,18
"118","118",2021-05-03,150
"119","119",2021-05-03,48
"120","120",2021-05-03,17
"121","121",2021-05-03,0
"122","122",2021-05-03,0
"123","123",2021-05-03,4
"124","124",2021-05-03,0
"125","125",2021-05-03,0
"126","126",2021-05-03,0
"127","127",2021-05-04,18
"128","128",2021-05-03,0
"129","129",2021-05-03,7
"130","130",2021-05-04,0
"131","131",2021-05-03,8
"132","132",2021-05-03,2
"133","133",2021-05-03,1
"134","134",2021-05-04,0
"135","135",2021-05-04,0
"136","136",2021-05-04,0
"137","137",2021-05-04,0
"138","138",2021-05-04,0
"139","139",2021-05-04,0
"140","140",2021-05-04,0
"141","141",2021-05-04,0
"142","142",2021-05-04,0
"143","143",2021-05-04,0
"144","144",2021-05-04,0
"145","145",2021-05-03,0
"146","146",2021-05-03,0
"147","147",2021-05-03,0
"148","148",2021-05-03,0
"149","149",2021-05-03,0
"150","150",2021-05-03,0
"151","151",2021-05-03,0
"152","152",2021-05-03,0
"153","153",2021-05-03,0
"154","154",2021-05-03,0
"155","155",2021-05-03,0
"156","156",2021-05-03,0
"157","157",2021-05-03,0
"158","158",2021-05-03,0
"159","159",2021-05-03,0
"160","160",2021-05-03,0
"161","161",2021-05-03,0
"162","162",2021-05-03,0
"163","163",2021-05-03,0
"164","164",2021-05-03,0
"165","165",2021-05-03,0
"166","166",2021-05-03,0
"167","167",2021-05-03,0
"168","168",2021-05-03,0
"169","169",2021-05-03,0
"170","170",2021-05-03,0
"171","171",2021-05-03,0
"172","172",2021-05-03,0
"173","173",2021-05-03,0
"174","174",2021-05-03,0
"175","175",2021-05-03,0
"176","176",2021-05-03,0
"177","177",2021-05-03,0
"178","178",2021-05-03,0
"179","179",2021-05-03,0
"180","180",2021-05-03,0
"181","181",2021-05-03,0
"182","182",2021-05-03,0
"183","183",2021-05-03,0
"184","184",2021-05-03,1
"185","185",2021-05-03,0
"186","186",2021-05-03,0
"187","187",2021-05-03,0
"188","188",2021-05-03,0
"189","189",2021-05-03,0
"190","190",2021-05-03,0
"191","191",2021-05-03,0
"192","192",2021-05-03,0
"193","193",2021-05-03,0
"194","194",2021-05-03,0
"195","195",2021-05-03,0
"196","196",2021-05-03,0
"197","197",2021-05-03,0
"198","198",2021-05-03,0
"199","199",2021-05-03,0
"200","200",2021-05-03,0
"201","201",2021-05-03,0
"202","202",2021-05-03,0
"203","203",2021-05-03,0
"204","204",2021-05-03,0
"205","205",2021-05-03,0
"206","206",2021-05-03,0
"207","207",2021-05-03,0
"208","208",2021-05-03,0
"209","209",2021-05-03,0
"210","210",2021-05-03,0
"211","211",2021-05-03,0
"212","212",2021-05-03,0
"213","213",2021-05-03,0
"214","214",2021-05-03,0
"215","215",2021-05-03,0
"216","216",2021-05-03,0
"217","217",2021-05-03,0
"218","218",2021-05-03,0
"219","219",2021-05-03,0
"220","220",2021-05-03,0
"221","221",2021-05-03,0
"222","222",2021-05-03,0
"223","223",2021-05-03,0
"224","224",2021-05-03,0
"225","225",2021-05-03,0
"226","226",2021-05-03,0
"227","227",2021-05-03,0
