,pct_concerned_sideeffects,concerned_sideeffects_se,pct_concerned_sideeffects_unw,concerned_sideeffects_se_unw,sample_size,country,iso_code,gid_0,survey_date,date
0,0.649079,0.032455,0.622391,0.021118,527.0,Russia,RUS,RUS,20210520,2021-05-20
1,0.663283,0.033043,0.666667,0.020998,504.0,Russia,RUS,RUS,20210521,2021-05-21
2,0.612471,0.033449,0.629344,0.021221,518.0,Russia,RUS,RUS,20210522,2021-05-22
3,0.624978,0.030192,0.661972,0.019848,568.0,Russia,RUS,RUS,20210523,2021-05-23
4,0.700415,0.030892,0.69708,0.01963,548.0,Russia,RUS,RUS,20210524,2021-05-24
5,0.72439,0.028383,0.685771,0.020637,506.0,Russia,RUS,RUS,20210525,2021-05-25
6,0.656468,0.031755,0.665314,0.021252,493.0,Russia,RUS,RUS,20210526,2021-05-26
7,0.683023,0.029065,0.666667,0.020813,513.0,Russia,RUS,RUS,20210527,2021-05-27
8,0.712586,0.03414,0.663736,0.022148,455.0,Russia,RUS,RUS,20210528,2021-05-28
9,0.645779,0.031941,0.686424,0.020287,523.0,Russia,RUS,RUS,20210529,2021-05-29
10,0.664868,0.028499,0.678571,0.01926,588.0,Russia,RUS,RUS,20210530,2021-05-30
11,0.684216,0.029585,0.67803,0.020334,528.0,Russia,RUS,RUS,20210531,2021-05-31
12,0.663479,0.032572,0.703704,0.019176,567.0,Russia,RUS,RUS,20210601,2021-06-01
13,0.654419,0.031982,0.645594,0.020936,522.0,Russia,RUS,RUS,20210602,2021-06-02
14,0.695876,0.028812,0.675299,0.0209,502.0,Russia,RUS,RUS,20210603,2021-06-03
15,0.649756,0.034293,0.661943,0.021283,494.0,Russia,RUS,RUS,20210604,2021-06-04
16,0.702137,0.031841,0.694387,0.021005,481.0,Russia,RUS,RUS,20210605,2021-06-05
17,0.71001,0.030157,0.673664,0.020483,524.0,Russia,RUS,RUS,20210606,2021-06-06
18,0.627594,0.033528,0.683426,0.020072,537.0,Russia,RUS,RUS,20210607,2021-06-07
19,0.675963,0.030288,0.668651,0.020967,504.0,Russia,RUS,RUS,20210608,2021-06-08
20,0.669572,0.031904,0.687623,0.020543,509.0,Russia,RUS,RUS,20210609,2021-06-09
21,0.672576,0.033907,0.677618,0.021179,487.0,Russia,RUS,RUS,20210610,2021-06-10
22,0.702781,0.031305,0.684932,0.02055,511.0,Russia,RUS,RUS,20210611,2021-06-11
23,0.731293,0.028702,0.718045,0.019508,532.0,Russia,RUS,RUS,20210612,2021-06-12
24,0.709222,0.028888,0.719745,0.017922,628.0,Russia,RUS,RUS,20210613,2021-06-13
25,0.69224,0.030103,0.704867,0.018071,637.0,Russia,RUS,RUS,20210614,2021-06-14
26,0.70308,0.026149,0.713424,0.017561,663.0,Russia,RUS,RUS,20210615,2021-06-15
27,0.724307,0.025817,0.707504,0.017802,653.0,Russia,RUS,RUS,20210616,2021-06-16
28,0.719299,0.028799,0.744027,0.018028,586.0,Russia,RUS,RUS,20210617,2021-06-17
29,0.688789,0.033464,0.710084,0.020796,476.0,Russia,RUS,RUS,20210618,2021-06-18
30,0.69916,0.036876,0.728346,0.019735,508.0,Russia,RUS,RUS,20210619,2021-06-19
31,0.729862,0.028878,0.697632,0.019602,549.0,Russia,RUS,RUS,20210620,2021-06-20
32,0.735406,0.033934,0.743028,0.019503,502.0,Russia,RUS,RUS,20210621,2021-06-21
33,0.703441,0.031586,0.710884,0.018696,588.0,Russia,RUS,RUS,20210622,2021-06-22
34,0.749865,0.03279,0.75448,0.01822,558.0,Russia,RUS,RUS,20210623,2021-06-23
35,0.727524,0.034833,0.725159,0.020527,473.0,Russia,RUS,RUS,20210624,2021-06-24
36,0.750427,0.027396,0.736364,0.018787,550.0,Russia,RUS,RUS,20210625,2021-06-25
37,0.7288,0.026012,0.740385,0.016249,728.0,Russia,RUS,RUS,20210626,2021-06-26
38,0.743373,0.022593,0.743295,0.015611,783.0,Russia,RUS,RUS,20210627,2021-06-27
39,0.746604,0.024457,0.739669,0.016286,726.0,Russia,RUS,RUS,20210628,2021-06-28
40,0.730993,0.026958,0.754386,0.015813,741.0,Russia,RUS,RUS,20210629,2021-06-29
