,pct_vaccinated_appointment_or_accept,vaccinated_appointment_or_accept_se,pct_vaccinated_appointment_or_accept_unw,vaccinated_appointment_or_accept_se_unw,sample_size,country,iso_code,gid_0,survey_date,date
0,0.622162,0.025895,0.653217,0.015717,917.0,Russia,RUS,RUS,20210520,2021-05-20
1,0.573401,0.026073,0.621714,0.016395,875.0,Russia,RUS,RUS,20210521,2021-05-21
2,0.633146,0.024719,0.638952,0.016209,878.0,Russia,RUS,RUS,20210522,2021-05-22
3,0.643148,0.023504,0.637804,0.015619,947.0,Russia,RUS,RUS,20210523,2021-05-23
4,0.628352,0.024226,0.636957,0.015854,920.0,Russia,RUS,RUS,20210524,2021-05-24
5,0.622326,0.025303,0.620253,0.016463,869.0,Russia,RUS,RUS,20210525,2021-05-25
6,0.621538,0.024155,0.632488,0.016364,868.0,Russia,RUS,RUS,20210526,2021-05-26
7,0.607456,0.023408,0.630992,0.016111,897.0,Russia,RUS,RUS,20210527,2021-05-27
8,0.600249,0.028839,0.650246,0.016736,812.0,Russia,RUS,RUS,20210528,2021-05-28
9,0.603677,0.024767,0.617783,0.016513,866.0,Russia,RUS,RUS,20210529,2021-05-29
10,0.564346,0.024366,0.592437,0.015926,952.0,Russia,RUS,RUS,20210530,2021-05-30
11,0.606463,0.024936,0.622047,0.016262,889.0,Russia,RUS,RUS,20210531,2021-05-31
12,0.572848,0.026035,0.581395,0.016417,903.0,Russia,RUS,RUS,20210601,2021-06-01
13,0.639551,0.024462,0.658378,0.015593,925.0,Russia,RUS,RUS,20210602,2021-06-02
14,0.638937,0.023811,0.630926,0.016212,886.0,Russia,RUS,RUS,20210603,2021-06-03
15,0.575367,0.026966,0.608592,0.01686,838.0,Russia,RUS,RUS,20210604,2021-06-04
16,0.589592,0.026217,0.618421,0.016801,836.0,Russia,RUS,RUS,20210605,2021-06-05
17,0.587855,0.026463,0.633222,0.016091,897.0,Russia,RUS,RUS,20210606,2021-06-06
18,0.525605,0.026059,0.573394,0.016749,872.0,Russia,RUS,RUS,20210607,2021-06-07
19,0.588981,0.024217,0.600939,0.016777,852.0,Russia,RUS,RUS,20210608,2021-06-08
20,0.570004,0.025836,0.615207,0.016514,868.0,Russia,RUS,RUS,20210609,2021-06-09
21,0.601103,0.026426,0.624138,0.016421,870.0,Russia,RUS,RUS,20210610,2021-06-10
22,0.625058,0.026349,0.639731,0.016083,891.0,Russia,RUS,RUS,20210611,2021-06-11
23,0.584119,0.026562,0.613229,0.016306,892.0,Russia,RUS,RUS,20210612,2021-06-12
24,0.609258,0.023566,0.631627,0.014584,1094.0,Russia,RUS,RUS,20210613,2021-06-13
25,0.614842,0.022978,0.643993,0.014231,1132.0,Russia,RUS,RUS,20210614,2021-06-14
26,0.601989,0.023076,0.618231,0.014595,1108.0,Russia,RUS,RUS,20210615,2021-06-15
27,0.634,0.022347,0.657736,0.013949,1157.0,Russia,RUS,RUS,20210616,2021-06-16
28,0.607415,0.023953,0.610236,0.0153,1016.0,Russia,RUS,RUS,20210617,2021-06-17
29,0.62896,0.026093,0.666667,0.015927,876.0,Russia,RUS,RUS,20210618,2021-06-18
30,0.639235,0.026619,0.649611,0.015912,899.0,Russia,RUS,RUS,20210619,2021-06-19
31,0.596399,0.025371,0.654346,0.015032,1001.0,Russia,RUS,RUS,20210620,2021-06-20
32,0.645806,0.026086,0.705696,0.014801,948.0,Russia,RUS,RUS,20210621,2021-06-21
33,0.639609,0.024426,0.655754,0.014965,1008.0,Russia,RUS,RUS,20210622,2021-06-22
34,0.573917,0.027219,0.604013,0.015892,947.0,Russia,RUS,RUS,20210623,2021-06-23
35,0.660062,0.025002,0.691011,0.015489,890.0,Russia,RUS,RUS,20210624,2021-06-24
36,0.644275,0.021926,0.66034,0.014969,1001.0,Russia,RUS,RUS,20210625,2021-06-25
37,0.624297,0.020406,0.649886,0.013174,1311.0,Russia,RUS,RUS,20210626,2021-06-26
38,0.6843,0.018671,0.687121,0.01204,1483.0,Russia,RUS,RUS,20210627,2021-06-27
39,0.668198,0.020239,0.71184,0.012096,1402.0,Russia,RUS,RUS,20210628,2021-06-28
40,0.678044,0.019829,0.685552,0.012356,1412.0,Russia,RUS,RUS,20210629,2021-06-29
41,0.647796,0.020262,0.682209,0.012471,1394.0,Russia,RUS,RUS,20210630,2021-06-30
42,0.721313,0.017677,0.715706,0.011612,1509.0,Russia,RUS,RUS,20210701,2021-07-01
43,0.635332,0.021397,0.695041,0.012526,1351.0,Russia,RUS,RUS,20210702,2021-07-02
44,0.663643,0.019923,0.696495,0.012555,1341.0,Russia,RUS,RUS,20210703,2021-07-03
45,0.682099,0.020085,0.705066,0.012013,1441.0,Russia,RUS,RUS,20210704,2021-07-04
